Município,Menor 1 ano,1 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Idade ignorada,Total
TOTAL,99,103,93,638,10.569,23.742,14.369,6.989,3.654,1.601,684,241,966,63.748
110001 Alta Floresta D'Oeste,-,-,-,-,-,2,1,-,-,-,-,-,1,4
110040 Alto Paraíso,-,-,-,-,2,3,1,2,2,-,-,-,1,11
110002 Ariquemes,-,-,-,1,9,20,10,6,4,-,1,-,-,51
110045 Buritis,-,-,-,-,3,4,4,5,1,1,-,-,1,19
110003 Cabixi,-,-,-,-,2,3,-,-,-,-,-,-,-,5
110060 Cacaulândia,-,-,-,-,-,1,-,-,-,-,-,-,-,1
110004 Cacoal,-,-,-,1,-,7,8,3,3,-,1,-,-,23
110070 Campo Novo de Rondônia,-,-,-,-,-,-,-,3,-,-,-,-,-,3
110080 Candeias do Jamari,-,-,-,-,1,3,2,3,2,2,-,-,-,13
110090 Castanheiras,-,-,-,-,-,-,-,-,-,1,-,-,-,1
110005 Cerejeiras,-,-,-,-,1,1,1,1,-,-,-,-,-,4
110092 Chupinguaia,-,-,-,-,1,1,3,1,-,-,-,-,-,6
110006 Colorado do Oeste,-,-,-,-,-,1,-,-,1,-,-,-,-,2
110008 Costa Marques,-,-,-,-,-,-,-,2,-,-,-,-,-,2
110094 Cujubim,-,-,-,-,-,1,-,1,-,-,-,-,-,2
110009 Espigão D'Oeste,-,-,-,-,-,-,2,1,1,1,-,1,-,6
110100 Governador Jorge Teixeira,-,-,-,-,-,-,1,-,-,-,-,-,-,1
110010 Guajará-Mirim,-,-,-,-,2,-,-,1,1,1,-,-,-,5
110110 Itapuã do Oeste,-,-,-,-,1,1,2,-,-,-,-,-,-,4
110011 Jaru,1,-,-,-,4,2,9,5,5,1,-,-,-,27
110012 Ji-Paraná,-,-,-,-,4,15,6,5,3,1,1,-,1,36
110013 Machadinho D'Oeste,-,-,-,1,-,4,2,-,-,-,1,-,-,8
110120 Ministro Andreazza,-,-,-,-,-,1,-,2,-,-,-,-,-,3
110130 Mirante da Serra,-,-,-,-,1,-,5,1,-,-,-,-,-,7
110140 Monte Negro,-,-,-,-,1,1,2,1,1,-,-,-,-,6
110014 Nova Brasilândia D'Oeste,-,-,-,-,1,2,-,2,-,-,-,-,-,5
110033 Nova Mamoré,-,-,-,-,-,2,1,-,3,-,-,-,-,6
110015 Ouro Preto do Oeste,-,-,-,-,-,5,-,-,1,-,-,-,-,6
110145 Parecis,-,-,-,-,-,-,1,-,-,-,-,-,-,1
110018 Pimenta Bueno,-,-,-,-,2,-,2,2,1,-,-,-,-,7
110146 Pimenteiras do Oeste,-,-,-,-,1,-,-,-,-,-,-,-,-,1
110020 Porto Velho,-,-,-,3,22,62,57,28,19,8,1,1,2,203
110025 Presidente Médici,-,-,-,-,-,1,-,-,-,-,-,-,-,1
110028 Rolim de Moura,1,-,-,-,-,3,3,2,-,3,-,-,1,13
110029 Santa Luzia D'Oeste,-,-,-,-,-,1,-,-,-,1,-,-,-,2
110149 São Francisco do Guaporé,-,-,-,-,-,1,2,2,1,-,-,-,-,6
110032 São Miguel do Guaporé,-,-,-,-,1,1,1,4,-,1,-,-,-,8
110150 Seringueiras,-,-,-,-,-,1,3,-,-,-,-,-,-,4
110170 Urupá,-,-,-,-,-,-,1,-,-,1,-,-,-,2
110175 Vale do Anari,-,-,-,-,-,1,1,-,-,-,-,-,-,2
110180 Vale do Paraíso,-,-,-,-,-,1,1,-,-,-,-,-,-,2
110030 Vilhena,-,-,-,-,8,12,12,2,1,-,2,-,1,38
120001 Acrelândia,-,-,-,1,-,1,2,-,-,-,-,-,1,5
120005 Assis Brasil,-,-,-,-,-,-,-,-,1,-,-,-,-,1
120010 Brasiléia,-,-,-,-,-,4,5,-,-,-,-,-,-,9
120013 Bujari,-,-,-,-,1,1,1,1,-,2,-,-,-,6
120017 Capixaba,-,-,-,-,-,2,2,-,-,-,1,-,-,5
120020 Cruzeiro do Sul,1,-,-,1,20,16,17,1,3,2,1,-,1,63
120025 Epitaciolândia,-,-,-,-,-,2,1,2,-,-,-,-,-,5
120030 Feijó,-,-,-,-,2,8,3,1,2,-,-,-,-,16
120032 Jordão,-,-,-,-,1,1,-,-,-,-,-,-,-,2
120033 Mâncio Lima,-,-,-,1,-,1,-,-,-,-,-,-,-,2
120034 Manoel Urbano,-,-,-,-,2,1,-,-,-,-,-,-,-,3
120038 Plácido de Castro,-,-,-,-,1,2,1,2,-,-,-,-,-,6
120080 Porto Acre,-,-,-,1,3,4,1,3,-,-,-,-,-,12
120039 Porto Walter,-,-,-,-,-,1,-,-,1,-,-,-,-,2
120040 Rio Branco,-,1,1,8,64,132,67,32,11,5,5,-,1,327
120042 Rodrigues Alves,-,-,-,-,2,1,1,-,-,-,-,-,-,4
120043 Santa Rosa do Purus,-,-,-,1,-,-,-,1,-,-,-,-,-,2
120050 Sena Madureira,-,-,-,-,4,5,4,1,1,1,-,-,-,16
120045 Senador Guiomard,-,-,-,-,1,4,2,-,-,-,1,-,-,8
120060 Tarauacá,-,-,-,-,3,2,3,1,3,1,-,-,-,13
120070 Xapuri,-,-,-,-,1,2,2,-,1,1,1,-,-,8
130008 Anamã,-,-,-,1,-,1,-,-,-,-,-,-,-,2
130010 Anori,-,-,-,-,-,1,3,-,-,-,-,-,-,4
130014 Apuí,-,-,-,-,-,2,2,2,1,-,-,-,-,7
130020 Atalaia do Norte,-,-,-,-,-,1,-,-,-,-,-,-,-,1
130030 Autazes,-,2,-,-,1,4,2,-,-,1,-,-,-,10
130040 Barcelos,21,-,-,1,-,3,1,1,-,-,-,-,-,27
130050 Barreirinha,-,-,-,-,1,1,1,-,1,-,-,-,-,4
130060 Benjamin Constant,-,-,-,-,2,3,2,-,4,-,-,-,-,11
130063 Beruri,-,-,-,-,-,1,-,-,-,-,-,-,-,1
130068 Boa Vista do Ramos,-,-,-,-,-,2,-,-,-,-,-,-,-,2
130070 Boca do Acre,-,-,-,-,2,5,4,3,1,-,-,-,-,15
130080 Borba,-,-,-,-,-,3,1,1,-,-,-,-,-,5
130083 Caapiranga,-,-,-,-,1,-,-,-,-,-,-,-,-,1
130090 Canutama,-,-,-,-,-,2,-,1,-,-,-,-,-,3
130100 Carauari,-,-,-,-,1,1,-,-,-,-,-,-,-,2
130110 Careiro,-,-,-,-,1,4,3,1,-,-,1,-,-,10
130115 Careiro da Várzea,-,-,-,-,1,-,-,-,-,-,-,-,-,1
130120 Coari,-,-,-,1,17,32,14,4,3,2,2,-,-,75
130130 Codajás,-,-,-,-,-,3,1,1,-,-,-,-,-,5
130140 Eirunepé,-,-,1,-,1,7,2,2,2,-,-,-,-,15
130150 Envira,-,-,-,1,4,1,1,-,-,-,-,-,-,7
130160 Fonte Boa,-,-,-,-,2,3,1,-,-,-,-,-,-,6
130165 Guajará,-,-,-,-,1,1,2,1,1,-,-,-,-,6
130170 Humaitá,-,-,-,-,1,3,1,-,-,-,-,-,-,5
130180 Ipixuna,-,-,-,-,-,1,-,-,-,-,-,-,-,1
130185 Iranduba,-,-,-,-,3,9,7,2,-,4,-,-,2,27
130190 Itacoatiara,-,-,-,-,4,14,5,4,2,-,1,-,-,30
130195 Itamarati,-,-,-,-,-,1,-,-,-,-,-,-,-,1
